"Fuente","Título","Autor","Editorial","ISSN-e","ISSN","ISBN","Volumén","Número","Páginas"
"Artículo","Teaching and learning science using data-projection facilities","H. Harden","School Science Review","","","","","","59-66"
"Artículo","Kelly Zou: Mathematics, statistics, data science, and dreams","","AMSTAT news: the membership magazine of the American Statistical Association","","","","","",""
"Artículo","Statistics as a Science, Not an Art: The Way to Survive in Data","Mark van der Laan","AMSTAT news: the membership magazine of the American Statistical Association","","","","","","29-30"
"Artículo","Trust Your Science?: Open you Data and Code","Victoria Stodden","AMSTAT news: the membership magazine of the American Statistical Association","","","","","","21-22"
"Artículo","Musings of a Baby Boomer Data Science Learner","Bill Bentley","AMSTAT news: the membership magazine of the American Statistical Association","","","","","","14-15"
"Artículo","Women in Statistics and Data Science is Headed to the West Coast","","AMSTAT news: the membership magazine of the American Statistical Association","","","","","","30-37"
"Artículo","Earth science: Microseismicity data forecast rupture area","Danijel Schorlemmer, Stefan Wiemer","Nature: International weekly journal of science","","","","","",""
"Artículo","Analysis of online courses to acquire data science literacy","P. Petrova, I. Kostadinova, V. Chantov","Edulearn 18. 10th International Conference on Education and New Learning Technology: (Palma","","","","","","4073-4080"
"Artículo","Master’s Programs in Data Science and Analytics (Continued …)","Steve Pierson","AMSTAT news: the membership magazine of the American Statistical Association","","","","","","15-24"
"Artículo","New Graduate Data Science Programs, Continued","","AMSTAT news: the membership magazine of the American Statistical Association","","","","","","16-18"
"Artículo","What Supports the Big Tent for Statistics and Data Science?","Katherine Monti","AMSTAT news: the membership magazine of the American Statistical Association","","","","","","24-28"
"Artículo","Comments on: Distance geometry and data science 2","Emilio Carrizosa Priego","Top","","","","","","346-347"
"Artículo","BI & Data Science for architects. ‘The Building Data Library’: an online platform to share and analyse building data","José Juan Fructuoso","EURAU18 Alicante: Retroactive Research: Congress Proceedings / coord. por Javier Sánchez Merina","","","","","","364-370"
"Artículo","Data Journalism: From Social Science Techniques to Data Science Skills","Adolfo Antón Bravo, Ana Serrano Tellería","Hipertext.net: Revista Académica sobre Documentación Digital y Comunicación Interactiva","","","","","",""
"Artículo","Big Data-Análisis informétrico de documentos indexados en Scopus y Web of Science","Celso Martínez Musiño","Investigación bibliotecológica","","","","","","87-102"
"Artículo","A model of management based on e-science and data warehouse for application in agribussiness.","A.R.B. Tech, A.I.C. Arce, A.C.S. Silva, L. A. M. Pereira, E.J.X. Costa","Archivos de zootecnia","","","","","","161-168"
"Artículo","How Can Big Data Science Transform the Psychological Sciences?","Betsy H. Albritton, Scott Tonidandel","The Spanish Journal of Psychology","","","","","","1-5"
"Artículo","¿Puede data science ayudarnos a mejorar el pronóstico y tratamiento del paciente oncológico?","Ernestina Menasalvas, Mariano Provencio Pulla, Alejandro Rodríguez, Maria Laura Torrente","Comunicación y hombre: revista interdisciplinar de ciencias de la comunicación y humanidades","","","","","",""
