Autor,Especializacion,Total de citas,Citas Ultimos 5 años,Total Indice H,Indice H Ultimos 5 años,Indice i10,Indice i10 Ultimos 5 años
Amit kumar,Research & Innovation,56977,40532,108,88,1255,968
Eliu Huerta,Artificial Intelligence,54986,53909,79,76,160,159
John Jost,Social Psychology,53494,29649,96,79,221,195
Angela Mariotto,Statistics,52196,33448,81,60,150,123
Giovanni Parmigiani,Applied Statistics,49860,20029,87,60,248,179
"Jill S. Barnholtz-Sloan, PhD",biostatistics,47103,40840,89,79,291,276
Björn Usadel,Data Science,46219,36574,68,55,141,137
Miquel Oliver,relatividad general,45394,45190,66,66,96,96
Ian Bolliger,Climate Impacts,45288,34266,16,15,17,16
Manuel A. Rivas,Human Genetics,43549,33390,44,44,72,70
Yuriy Pakhotin,Machine Learning,42430,18545,43,32,48,39
Nick Watkins,blood,41620,14522,55,40,88,70
Daniel Keim,Data Analysis,39972,16621,84,58,355,234
Lillian Lee,all pubs hand-verified to be actually mine,38953,19087,40,28,53,46
Yu Zheng (郑宇),Urban Computing,37368,27722,86,76,191,178
Ying Lu,Biostatistics,34836,12136,93,49,391,258
S. Joe Qin,Process data analytics,34067,14055,79,56,204,143
David C Wedge,Cancer Genomics,33526,27744,60,59,103,96
Jeannette M Wing,trustworthy AI,32479,13248,56,30,117,53
Stef van Buuren,Missing data,32303,19963,64,45,174,127
David Johnston,Data-science,31584,7836,64,36,87,70
Leanne Guy,time-series analysis,31532,22001,36,29,54,44
Katherine S Pollard,Bioinformatics,31352,20930,74,57,162,146
Tor D Tosteson,Biostatistics,31102,12628,88,52,200,155
Eric Ford,Extrasolar Planetary Systems,31059,15770,81,59,178,150
Edoardo M Airoldi,Statistics,30973,21492,47,38,98,83
David Ruppert,Statistics,30418,9384,67,40,157,100
Giacomo Vianello,A.I.,28804,19617,74,64,143,136
Zoran Obradovic,Data Mining,28328,10490,62,46,196,119
Sridhar Hannenhalli,Bioinformatics,28024,6443,49,31,101,74
Mikhail (Misha)  Belkin,Machine Learning,27875,13835,41,37,71,61
Daniel George,Deep Learning,27742,27655,48,48,68,68
Victor Solovyev,Computational biology/Drug Discovery,26458,9830,47,33,78,51
Euan A. Ashley,genomics,25594,16273,78,63,258,228
Christine A Allen,Machine Learning,25229,25085,25,25,25,25
James Z. Wang,data science,24880,8382,59,38,134,89
Kathleen McKeown,Artificial Intelligence,24876,7631,72,43,225,117
Eytan Ruppin,Computational systems biology,24598,12857,81,60,243,171
John Lehoczky,applied probability theory,24196,3732,56,28,110,55
Richard Ofori-Asenso,Real world evidence,23674,23573,40,40,66,66
Jonathan J. Hull,Data science,23505,7337,81,40,293,161
Rajesh K. Gupta,Embedded Systems,23453,7324,72,39,253,124
Barry Smyth,Personalization,23434,7480,78,42,308,167
Jeremy Miles,statistical models,21719,12113,72,54,176,147
Chiara Sabatti,Statistical genetics,21687,10518,57,40,101,83
Michael Brudno,,21601,10228,59,41,103,91
Pan Hui,Ubiquitous Computing,21582,10792,55,47,227,177
Daniel Larose,Predictive analytics,21518,9939,16,11,21,13
Fionn Murtagh,Data science.  Data,21336,8540,64,36,190,91
Janos Kertesz,complex networks,21304,8819,69,42,202,106
Qing Li,database,20670,13798,58,48,467,303
Victor Chernozhukov,Econometrics,20603,14845,64,60,107,105
Cenk Sahinalp,Bioinformatics,20581,10362,53,43,114,90
Gavin Shaddick,Bayesian modelling,20500,18264,39,31,71,60
Nigam Shah,ontology,20168,13472,63,52,195,165
Andrea Petrucci,distributed systems,19472,10289,20,12,32,14
Raymond K. Auerbach,Bioinformatics,19457,11646,26,20,28,25
Alan F. Smeaton MRIA FIEEE,multimedia,19419,6288,68,36,309,121
Andre Dekker,Data Science,19289,14713,62,45,147,126
Sinan Aral,Network Science,19238,13263,33,31,48,42
T. Tony Cai,high dimensional statistics,19078,11695,67,53,145,131
Dr Kamran Munir,,18734,10671,15,12,21,13
Niels H. Batjes,soil science,18593,9649,56,38,123,86
Gareth James,,18310,14388,29,25,38,33
Nick Duffield,Network Measurement,18308,4687,67,36,178,101
Markus Jakobsson,Fraud,18228,5423,67,34,129,84
Dr Stephen J Newhouse,Genomics,18179,7391,46,41,84,81
Takeya Kasukawa,Bioinformatics,18110,8461,43,33,64,51
John C. Castle,computational biology,18052,6942,47,36,75,60
Matthias Schlesner,Bioinformatics,18021,16502,40,40,87,85
Rodrigo N. Calheiros,Cloud computing,17776,12049,46,45,73,69
Dipanjan Roy,Aging,17348,8695,15,13,24,22
Alexander Sherstnev,Data Science,17072,7012,25,19,39,25
Sylvia K. Plevritis,cancer systems biology,16741,10518,51,41,108,89
Jeanine Houwing-Duistermaat,biostatistics,16680,8781,68,44,184,136
Nicholas J. Horton,Biostatistics,16582,7535,72,46,155,129
Tomoya Baba,Biology,16494,6748,38,22,65,45
Augustin Luna,biological networks,15790,14394,45,43,67,65
Radhakrishna Achanta,Computer Vision,15503,10610,18,15,20,16
Leandro dos Santos Coelho,Machine learning,15339,9192,63,50,228,163
Aaron M Newman,Cancer Genomics,15295,14345,35,34,48,48
David Broadhurst,dvdbrdhrst@gmail.com,15294,8082,49,42,76,71
Todd A Mackenzie,Biostatistics,15063,7540,64,43,203,168
Dr. Alok Kumar Singh,Carbon Sequestration,14976,8437,48,35,321,202
Michael D. Radmacher,,14892,3852,41,29,52,43
Evangelos Kontopantelis,Data Science,14552,11152,56,55,155,151
Rajeev Thakur,High-performance computing,14513,4523,56,30,177,91
Bissan Al-Lazikani,Computational biology,14445,7950,34,28,46,40
Elke Rundensteiner,Big Data Analytics,14404,3457,61,26,289,94
Alberto Santos,Systems biology,14131,13856,16,16,18,18
Robert Tibshirani,Statistics,411203,189551,165,117,503,404
John P.A. Ioannidis,meta-research,377295,267425,219,156,1100,926
Max Baak,statistical methodology,186925,105416,208,155,913,702
Kalliopi Iordanidou,Particle Physics,150258,114834,189,165,773,752
Sadia Khalil,Data Science,149911,103160,176,150,822,717
Anders M. Dale,Neuroimaging,148826,77389,168,119,584,542
Sara Borroni,Artificial Intelligence,135036,78888,172,132,395,352
Mike A. Nalls,statistical genetics,126454,91392,117,101,347,337
Wil van der Aalst,Business Process Management,119191,45893,159,97,828,594
Aatos Heikkinen,Data Science,118377,58395,102,70,196,168
Robert Tibshirani,Statistics,411203,189551,165,117,503,404
John P.A. Ioannidis,meta-research,377295,267425,219,156,1100,926
Max Baak,statistical methodology,186925,105416,208,155,913,702
Kalliopi Iordanidou,Particle Physics,150258,114834,189,165,773,752
Sadia Khalil,Data Science,149911,103160,176,150,822,717
Anders M. Dale,Neuroimaging,148826,77389,168,119,584,542
Sara Borroni,Artificial Intelligence,135036,78888,172,132,395,352
